name,official,currency_name,currency_symbol,languages,capital,population
Turks and Caicos Islands,Turks and Caicos Islands,United States dollar,$,English,Cockburn Town,50828
Saudi Arabia,Kingdom of Saudi Arabia,Saudi riyal,ر.س,Arabic,Riyadh,35300280
Botswana,Republic of Botswana,Botswana pula,P,"English, Tswana",Gaborone,2359609
Comoros,Union of the Comoros,Comorian franc,Fr,"Arabic, French, Comorian",Moroni,919901
Belize,Belize,Belize dollar,$,"Belizean Creole, English, Spanish",Belmopan,417634
Cambodia,Kingdom of Cambodia,Cambodian riel,៛,Khmer,Phnom Penh,17577760
Saint Lucia,Saint Lucia,Eastern Caribbean dollar,$,English,Castries,184100
Mauritania,Islamic Republic of Mauritania,Mauritanian ouguiya,UM,Arabic,Nouakchott,4927532
Jamaica,Jamaica,Jamaican dollar,$,"English, Jamaican Patois",Kingston,2825544
Cape Verde,Republic of Cabo Verde,Cape Verdean escudo,Esc,Portuguese,Praia,491233
Marshall Islands,Republic of the Marshall Islands,United States dollar,$,"English, Marshallese",Majuro,42418
Namibia,Republic of Namibia,Namibian dollar,$,"Afrikaans, German, English, Herero, Khoekhoe, Kwangali, Lozi, Ndonga, Tswana",Windhoek,3022401
Iran,Islamic Republic of Iran,Iranian rial,﷼,Persian (Farsi),Tehran,85961000
Wallis and Futuna,Territory of the Wallis and Futuna Islands,CFP franc,₣,French,Mata-Utu,11620
Azerbaijan,Republic of Azerbaijan,Azerbaijani manat,₼,Azerbaijani,Baku,10241722
Niger,Republic of Niger,West African CFA franc,Fr,French,Niamey,26312034
Heard Island and McDonald Islands,Heard Island and McDonald Islands,N/A,N/A,English,N/A,0
Laos,Lao People's Democratic Republic,Lao kip,₭,Lao,Vientiane,7647000
Burkina Faso,Burkina Faso,West African CFA franc,Fr,French,Ouagadougou,24070553
Cocos (Keeling) Islands,Territory of the Cocos (Keeling) Islands,Australian dollar,$,English,West Island,593
Luxembourg,Grand Duchy of Luxembourg,euro,€,"German, French, Luxembourgish",Luxembourg,681973
Indonesia,Republic of Indonesia,Indonesian rupiah,Rp,Indonesian,Jakarta,284438782
Lebanon,Lebanese Republic,Lebanese pound,ل.ل,"Arabic, French",Beirut,5490000
Turkey,Republic of Turkey,Turkish lira,₺,Turkish,Ankara,85664944
Timor-Leste,Democratic Republic of Timor-Leste,United States dollar,$,"Portuguese, Tetum",Dili,1391221
Zimbabwe,Republic of Zimbabwe,Zimbabwean dollar,$,"Chibarwe, English, Kalanga, Khoisan, Ndau, Northern Ndebele, Chewa, Shona, Sotho, Tonga, Tswana, Tsonga, Venda, Xhosa, Zimbabwean Sign Language",Harare,17073087
South Africa,Republic of South Africa,South African rand,R,"Afrikaans, English, Southern Ndebele, Northern Sotho, Southern Sotho, Swazi, Tswana, Tsonga, Venda, Xhosa, Zulu",Pretoria,63100945
Armenia,Republic of Armenia,Armenian dram,֏,Armenian,Yerevan,3076200
Ireland,Republic of Ireland,euro,€,"English, Irish",Dublin,5458600
Norway,Kingdom of Norway,Norwegian krone,kr,"Norwegian Nynorsk, Norwegian Bokmål, Sami",Oslo,5606944
Kenya,Republic of Kenya,Kenyan shilling,Sh,"English, Swahili",Nairobi,53330978
North Korea,Democratic People's Republic of Korea,North Korean won,₩,Korean,Pyongyang,25950000
Afghanistan,Islamic Republic of Afghanistan,Afghan afghani,؋,"Dari, Pashto, Turkmen",Kabul,43844000
Bermuda,Bermuda,Bermudian dollar,$,English,Hamilton,64055
Spain,Kingdom of Spain,euro,€,"Spanish, Catalan, Basque, Galician",Madrid,49315949
Netherlands,Kingdom of the Netherlands,euro,€,Dutch,Amsterdam,18100436
Nicaragua,Republic of Nicaragua,Nicaraguan córdoba,C$,Spanish,Managua,6803886
Lesotho,Kingdom of Lesotho,Lesotho loti,L,"English, Sotho",Maseru,2116427
Egypt,Arab Republic of Egypt,Egyptian pound,£,Arabic,Cairo,107271260
Gambia,Republic of the Gambia,dalasi,D,English,Banjul,2422712
Brazil,Federative Republic of Brazil,Brazilian real,R$,Portuguese,Brasília,213421037
Australia,Commonwealth of Australia,Australian dollar,$,English,Canberra,27536874
Bouvet Island,Bouvet Island,N/A,N/A,Norwegian,N/A,0
Pitcairn Islands,Pitcairn Group of Islands,New Zealand dollar,$,English,Adamstown,35
Barbados,Barbados,Barbadian dollar,$,English,Bridgetown,267800
Madagascar,Republic of Madagascar,Malagasy ariary,Ar,"French, Malagasy",Antananarivo,31727042
United Kingdom,United Kingdom of Great Britain and Northern Ireland,British pound,£,English,London,69281437
Portugal,Portuguese Republic,euro,€,Portuguese,Lisbon,10749635
Greenland,Greenland,krone,kr.,Greenlandic,Nuuk,56542
American Samoa,American Samoa,United States dollar,$,"English, Samoan",Pago Pago,49710
South Georgia,South Georgia and the South Sandwich Islands,British pound,£,English,King Edward Point,0
Turkmenistan,Turkmenistan,Turkmenistan manat,m,"Russian, Turkmen",Ashgabat,7057841
Guadeloupe,Guadeloupe,euro,€,French,Basse-Terre,378561
Dominica,Commonwealth of Dominica,Eastern Caribbean dollar,$,English,Roseau,67408
Solomon Islands,Solomon Islands,Solomon Islands dollar,$,English,Honiara,750325
Saint Pierre and Miquelon,Saint Pierre and Miquelon,euro,€,French,Saint-Pierre,5819
Rwanda,Republic of Rwanda,Rwandan franc,Fr,"English, French, Kinyarwanda",Kigali,14104969
Norfolk Island,Territory of Norfolk Island,Australian dollar,$,"English, Norfuk",Kingston,2188
Panama,Republic of Panama,Panamanian balboa,B/.,Spanish,Panama City,4064780
Bahamas,Commonwealth of the Bahamas,Bahamian dollar,$,English,Nassau,398165
Tokelau,Tokelau,New Zealand dollar,$,"English, Samoan, Tokelauan",Fakaofo,2608
Montenegro,Montenegro,euro,€,Montenegrin,Podgorica,623327
Åland Islands,Åland Islands,euro,€,Swedish,Mariehamn,30654
Niue,Niue,New Zealand dollar,$,"English, Niuean",Alofi,1681
Argentina,Argentine Republic,Argentine peso,$,"Guaraní, Spanish",Buenos Aires,46735004
Cuba,Republic of Cuba,Cuban convertible peso,$,Spanish,Havana,9748007
Cayman Islands,Cayman Islands,Cayman Islands dollar,$,English,George Town,84738
Kazakhstan,Republic of Kazakhstan,Kazakhstani tenge,₸,"Kazakh, Russian",Astana,20426568
Russia,Russian Federation,Russian ruble,₽,Russian,Moscow,146028325
India,Republic of India,Indian rupee,₹,"English, Hindi, Tamil",New Delhi,1417492000
British Virgin Islands,Virgin Islands,United States dollar,$,English,Road Town,39471
Guam,Guam,United States dollar,$,"Chamorro, English, Spanish",Hagåtña,153836
Myanmar,Republic of the Union of Myanmar,Burmese kyat,Ks,Burmese,Naypyidaw,51316756
DR Congo,Democratic Republic of the Congo,Congolese franc,FC,"French, Kikongo, Lingala, Tshiluba, Swahili",Kinshasa,112832000
Mauritius,Republic of Mauritius,Mauritian rupee,₨,"English, French, Mauritian Creole",Port Louis,1243741
Falkland Islands,Falkland Islands,Falkland Islands pound,£,English,Stanley,3662
Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,United States dollar,$,"Carolinian, Chamorro, English",Saipan,47329
Ukraine,Ukraine,Ukrainian hryvnia,₴,Ukrainian,Kyiv,32862000
Monaco,Principality of Monaco,euro,€,French,Monaco,38423
Tajikistan,Republic of Tajikistan,Tajikistani somoni,ЅМ,"Russian, Tajik",Dushanbe,10499000
Malaysia,Malaysia,Malaysian ringgit,RM,"English, Malay",Kuala Lumpur,34231700
Somalia,Federal Republic of Somalia,Somali shilling,Sh,"Arabic, Somali",Mogadishu,19655000
Antigua and Barbuda,Antigua and Barbuda,Eastern Caribbean dollar,$,English,Saint John's,103603
Central African Republic,Central African Republic,Central African CFA franc,Fr,"French, Sango",Bangui,6470307
Macau,Macao Special Administrative Region of the People's Republic of China,Macanese pataca,P,"Portuguese, Chinese",N/A,685900
Israel,State of Israel,Israeli new shekel,₪,"Arabic, Hebrew",Jerusalem,10134800
Nigeria,Federal Republic of Nigeria,Nigerian naira,₦,English,Abuja,223800000
Honduras,Republic of Honduras,Honduran lempira,L,Spanish,Tegucigalpa,9892632
Sierra Leone,Republic of Sierra Leone,Leone,Le,English,Freetown,9077691
Tunisia,Tunisian Republic,Tunisian dinar,د.ت,Arabic,Tunis,11972169
Lithuania,Republic of Lithuania,euro,€,Lithuanian,Vilnius,2894886
Iraq,Republic of Iraq,Iraqi dinar,ع.د,"Arabic, Aramaic, Sorani",Baghdad,46118793
Switzerland,Swiss Confederation,Swiss franc,Fr.,"French, Swiss German, Italian, Romansh",Bern,9082848
Chile,Republic of Chile,Chilean peso,$,Spanish,Santiago,20206953
Taiwan,Republic of China (Taiwan),New Taiwan dollar,$,Chinese,Taipei,23317031
Vietnam,Socialist Republic of Vietnam,Vietnamese đồng,₫,Vietnamese,Hanoi,101343800
Bangladesh,People's Republic of Bangladesh,Bangladeshi taka,৳,Bengali,Dhaka,169828911
Vanuatu,Republic of Vanuatu,Vanuatu vatu,Vt,"Bislama, English, French",Port Vila,321409
Pakistan,Islamic Republic of Pakistan,Pakistani rupee,₨,"English, Urdu",Islamabad,241499431
Latvia,Republic of Latvia,euro,€,Latvian,Riga,1829000
Malta,Republic of Malta,euro,€,"English, Maltese",Valletta,574250
Seychelles,Republic of Seychelles,Seychellois rupee,₨,"Seychellois Creole, English, French",Victoria,122729
Montserrat,Montserrat,Eastern Caribbean dollar,$,English,Plymouth,4386
Anguilla,Anguilla,Eastern Caribbean dollar,$,English,The Valley,16010
Greece,Hellenic Republic,euro,€,Greek,Athens,10400720
Czechia,Czech Republic,Czech koruna,Kč,"Czech, Slovak",Prague,10882341
Zambia,Republic of Zambia,Zambian kwacha,ZK,English,Lusaka,19693423
Hong Kong,Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong dollar,$,"English, Chinese",City of Victoria,7527500
United States,United States of America,United States dollar,$,English,"Washington, D.C.",340110988
Eswatini,Kingdom of Eswatini,Swazi lilangeni,L,"English, Swazi",Mbabane,1235549
Slovenia,Republic of Slovenia,euro,€,Slovene,Ljubljana,2130638
Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",United States dollar,$,"English, Dutch, Papiamento",Kralendijk,31980
Maldives,Republic of the Maldives,Maldivian rufiyaa,.ރ,Maldivian,Malé,515132
Ghana,Republic of Ghana,Ghanaian cedi,₵,English,Accra,33742380
Paraguay,Republic of Paraguay,Paraguayan guaraní,₲,"Guaraní, Spanish",Asunción,6109644
Mozambique,Republic of Mozambique,Mozambican metical,MT,Portuguese,Maputo,34090466
Palestine,State of Palestine,Egyptian pound,E£,Arabic,Ramallah,5483450
Moldova,Republic of Moldova,Moldovan leu,L,Romanian,Chișinău,2749076
Liberia,Republic of Liberia,Liberian dollar,$,English,Monrovia,5248621
Liechtenstein,Principality of Liechtenstein,Swiss franc,Fr,German,Vaduz,40900
Peru,Republic of Peru,Peruvian sol,S/ ,"Aymara, Quechua, Spanish",Lima,34350244
Qatar,State of Qatar,Qatari riyal,ر.ق,Arabic,Doha,3173024
Christmas Island,Territory of Christmas Island,Australian dollar,$,English,Flying Fish Cove,1692
Georgia,Georgia,lari,₾,Georgian,Tbilisi,4000921
